GKP-Qubit,Repetition,Repetition x GKP,Repetition x GKP-Correct
0.9849951642618208,0.99926,0.99921255240789,0.9935601916657034
0.968813958252841,0.99849,0.9968425365794518,0.9769760174505111
0.9535873858533607,0.99763,0.9919262634628774,0.9577217816422254
0.9381253869890848,0.99683,0.9863991426474572,0.9400863690339039
0.9233852995011229,0.99593,0.979380572544469,0.9239033096303713
0.9089722125233728,0.99519,0.9721515553746805,0.9077066811166594
0.8951530897385305,0.99442,0.9620270981322613,0.8931888959281552
0.8817119497796652,0.99369,0.9535888714749393,0.8784816731844913
0.8686673945946506,0.99271,0.9417811454631032,0.8633812090359483
0.8562069862660221,0.99173,0.9320570829134135,0.8497417730632029
0.8442709871261476,0.99077,0.9185880002020139,0.8371778801048052
0.8329119298848543,0.98991,0.9094582478076414,0.8247605567530997
0.8216708070182156,0.98933,0.8967503196957402,0.8129674925831265
0.811174485320141,0.98859,0.887271865593939,0.8017726593124547
0.8004175063986094,0.98786,0.8738305299923819,0.7903397342505684
0.7904226018690533,0.98702,0.8643901297737284,0.7801807627504944
0.7807425056554629,0.98598,0.851065827662549,0.7691123941143989
0.7711198686685207,0.98526,0.8409468677832486,0.7591603155694192
0.7617456912270792,0.98441,0.8285436823477595,0.7495536063988448
0.7527528848423638,0.9835,0.8185900733379652,0.7398867663705602
0.7444028904991833,0.9826,0.8060205179056119,0.7310068593736988
0.7359791814134361,0.98188,0.796983217393547,0.722197768629209
0.7282361122966351,0.98094,0.7865016114111254,0.71500949662812
0.7203397802518776,0.9802,0.7787395047541398,0.7078057898717055
0.7128983472215332,0.97928,0.7673927656416436,0.699916375445449
0.7056231056853998,0.97851,0.7606841784730586,0.6921201728490468
0.6988911531524942,0.97772,0.7488524232077314,0.6835108135540531
0.6924946434574623,0.97687,0.7418666135291051,0.6763758880259664
0.6857765261257528,0.97609,0.732028791378748,0.6690110856384384
0.6794699775569772,0.97534,0.725310761406618,0.663204737502029
0.6737781168877208,0.97446,0.7142765909970906,0.657580479018555
0.6681745186388961,0.97358,0.7084959862320581,0.6516997019575387
0.6625170298560739,0.9728,0.6999752251101885,0.6468905491336073
0.6569885408981281,0.9719800000000001,0.6949375349344988,0.641349226697175
0.6516983112351815,0.97134,0.6856210843991508,0.635886084051743
0.6469174842768229,0.97046,0.6787151267261347,0.6301296601424196
0.6418178869856506,0.96958,0.6717162794661155,0.6248012486695603
0.6368288122044219,0.9688,0.6662606488525499,0.6198262375210745
0.6319434803838833,0.96801,0.658234927819742,0.6158021448824107
0.6273271566904957,0.96719,0.6535905686238066,0.6121734688165283
0.6229389173846044,0.96629,0.6465093625855147,0.6088308597602218
0.6184479839233074,0.96536,0.6426598276775758,0.6050589414389491
0.6145877580624366,0.96441,0.6349778937353716,0.6009801432818762
0.6109525111925701,0.96355,0.6316341036359726,0.5972864885805801
0.6072790414480679,0.96275,0.6259147554118425,0.5933540676619035
0.6035801908509743,0.96197,0.622448894881395,0.5897277880599268
0.5999532446163016,0.96117,0.6166284712993143,0.5861908920762801
0.5966185628292848,0.9604,0.6143476676504356,0.5829935736814764
0.5938889377267509,0.95947,0.607044440668405,0.5803988217992206
0.5909067621938656,0.95865,0.6039347209790684,0.5774393525224769
0.5877310897970713,0.9579,0.5984201257561823,0.5745734528426634
0.5845957459901323,0.95712,0.5953318971748257,0.5706363915188127
0.5817114230259691,0.95629,0.5898039547363424,0.5672460469480199
0.5785793136223442,0.95555,0.5876948024049266,0.5646613088835624
0.5759021187855788,0.95461,0.5828621990568529,0.5624990100619601
0.5730893631847173,0.95396,0.5818758791483275,0.5592174786158253
0.570410966349278,0.95324,0.5769618500177653,0.5572947434782245
0.5680741259417939,0.95231,0.5762922944468307,0.5540258054477663
0.5658551466693592,0.95155,0.5721437633820764,0.5514760615922492
0.5636630699119346,0.95085,0.5699446082591942,0.5510818271976547
0.5616319695406969,0.95002,0.5648831903625946,0.5488441920283192
0.5596375854722041,0.94928,0.5624232635183032,0.5472353766135882
0.5576017216551397,0.94832,0.5579357793230335,0.5447827818068582
0.5554812022478541,0.94754,0.557197507673198,0.5443794155487234
0.5535003496778041,0.94681,0.5525986334411096,0.5432783184597288
0.5516109157499213,0.94604,0.5516420013366831,0.5420651069930271
0.5500794738820883,0.9453900000000001,0.5480300272386301,0.5409953683659068
0.5484543555154752,0.9447800000000001,0.5483113872422595,0.5393738460559319
0.547134466040236,0.94402,0.5458195473752545,0.5368076503569325
0.5454279111850676,0.94315,0.5449061207872982,0.5357999503989751
0.5435203243822329,0.9423900000000001,0.542820254552522,0.5342326942796306
0.5419705460432649,0.9414,0.5430390767294383,0.5329205505941456
0.5406402355198997,0.94065,0.5394415028736571,0.5311138357237088
0.5393469847736344,0.94003,0.5389488688210858,0.5301710806030319
0.5379157439095434,0.9395,0.5364878327409932,0.5289535189355374
0.5369107235477194,0.93871,0.5357795675509618,0.5277021413409037
0.5360262673593609,0.93792,0.5332931231667634,0.5260678292108258
0.5343042336512152,0.9373900000000001,0.5339821267673216,0.5270939107317995
0.5332013379633097,0.93667,0.5308503255115686,0.5269263751001927
0.5318699131377204,0.93609,0.5303142237669105,0.5263752894523427
0.5306849200564906,0.93545,0.5269455817404286,0.5258881827232857
0.5292638003412248,0.93476,0.52677905050964,0.5242922812576655
0.5284675669731461,0.9340700000000001,0.5260777265556715,0.5234334151306481
0.5276476876994823,0.9332900000000001,0.5270695394531432,0.5234455378758083
0.5268578854083433,0.9324,0.5253349030865441,0.5222999212983199
0.5261362016266337,0.93178,0.5252220592667179,0.521648454262734
